evaluations raw_y
270 0.3280757144
296 0.0327561177
435 0.0276885117
440 0.0137339283
494 0.0050192456
577 0.0049136140
609 0.0038078488
616 0.0037511792
638 0.0006859939
649 0.0006361325
782 0.0003011962
797 0.0001863363
849 0.0001068351
871 0.0000870420
881 0.0000334326
969 0.0000140345
1005 0.0000071799
1047 0.0000026287
1128 0.0000006243
1242 0.0000003244
1246 0.0000002609
1277 0.0000002448
1318 0.0000000525
1363 0.0000000384
1392 0.0000000255
1581 0.0000000240
1590 0.0000000153
1620 0.0000000113
1676 0.0000000066
1768 0.0000000042
1856 0.0000000030
1869 0.0000000021
1946 0.0000000020
2013 0.0000000016
2040 0.0000000013
2123 0.0000000012
2137 0.0000000010
2161 0.0000000007
2245 0.0000000005
2357 0.0000000004
2420 0.0000000002
2562 0.0000000001
8000 0.0000000000
evaluations raw_y
1 0.0016994654
18 0.0009918299
45 0.0009910093
51 0.0007243840
53 0.0005894723
112 0.0004100868
142 0.0003871553
236 0.0003721857
273 0.0003716417
287 0.0001934723
398 0.0001773063
596 0.0001695179
714 0.0000532439
1919 0.0000219653
3389 0.0000204938
3516 0.0000191660
3640 0.0000093144
3930 0.0000066000
4384 0.0000058375
4610 0.0000045998
4640 0.0000041250
4696 0.0000032620
5445 0.0000010764
5824 0.0000005889
6211 0.0000000829
6302 0.0000000563
6411 0.0000000146
6761 0.0000000126
6802 0.0000000122
6962 0.0000000063
7044 0.0000000005
7388 0.0000000003
7600 0.0000000002
7842 0.0000000000
8000 0.0000000003
evaluations raw_y
1 4.5976944653
11 2.4415828686
28 1.3985476626
42 1.1336208865
54 0.0744035928
138 0.0168729197
183 0.0137722642
218 0.0011937808
344 0.0002076629
355 0.0001027502
368 0.0000744258
390 0.0000018147
503 0.0000016221
555 0.0000015730
569 0.0000002613
605 0.0000000475
643 0.0000000228
715 0.0000000088
748 0.0000000045
871 0.0000000036
894 0.0000000027
913 0.0000000009
998 0.0000000007
1082 0.0000000001
8000 0.0000000000
evaluations raw_y
1 2.0560088992
4 1.5247023185
6 1.0989623780
10 0.5012854815
11 0.2271973755
54 0.2137318673
61 0.1001763150
107 0.0220678561
215 0.0107228998
364 0.0055893413
486 0.0021181075
523 0.0008753230
531 0.0008587083
538 0.0006733136
546 0.0006210794
658 0.0002868715
677 0.0001772722
725 0.0001609862
727 0.0001262616
769 0.0000701516
781 0.0000638956
904 0.0000604820
910 0.0000456034
987 0.0000374168
989 0.0000305443
1002 0.0000168682
1023 0.0000140628
1038 0.0000098069
1087 0.0000049933
1099 0.0000022227
1175 0.0000005724
